	k_rad(cm3s-1)	peq_min(cm-3)	k_capture(s-1)	k_emission(s-1)	k_deep(s-1)	k_nr_eff(s-1)	k_bulk_eff(s-1)	S_1(cm s-1)	S_2(cm s-1)	S_lower(cm s-1)	S_upper(cm s-1)	Mobility_values(cm2V-1s-1)	Diffusion_length(um)	LL	sigma_LL_factor
3123	7.370498061449023e-11	2082266162769503.0	1327003.2003764785	783187.0043192515	1708.0992911597962	1704.3868810475203	333792.16580675513	10.463330789429905	1.692357722332717	1.692357722332717	10.463330789429905	0.3931080052027567	1.7214552955211428	0.48134253164768226	2.0320544675228436
3124	7.39540355808525e-11	2082266162769503.0	1344177.2339757872	782307.1898095653	1755.4948136010737	1751.5694354766983	334961.49926496466	10.463330789429905	1.692357722332717	1.692357722332717	10.463330789429905	0.42571778879502004	1.7883039169404582	0.4807780898803927	2.03321685552408
3125	7.263577713184388e-11	2095426422023740.0	1388439.0408604061	775870.8048090755	1792.175548059792	1788.0506858010046	330014.29407628777	10.463330789429905	1.716336882794321	1.716336882794321	10.463330789429905	0.3928798478899933	1.7307780379322808	0.478663467490556	2.041477082730576
3126	7.357489275437365e-11	2095426422023740.0	1249843.1085770156	757836.4497781445	1755.0422782535172	1750.992925035229	334220.9080302579	10.463330789429905	1.716336882794321	1.716336882794321	10.463330789429905	0.39841208415513585	1.7319179709827646	0.46849916238909906	2.0587420740451408
3127	7.400863016503478e-11	2095426422023740.0	1255304.8586592388	757249.8335933367	1804.798457773743	1800.5133629707645	336230.3992503716	10.463330789429905	1.716336882794321	1.716336882794321	10.463330789429905	0.3882182014237368	1.7045012861442657	0.47341920736676923	2.052806735515265
3128	7.380954037922495e-11	2083029737029979.0	1188330.279229767	733370.571883411	1902.3944567333228	1897.480200013909	334512.7263812647	10.440696372341103	1.716336882794321	1.716336882794321	10.440696372341103	0.4172945706410245	1.7717111544195094	0.4713335327849874	2.0533302076077202
3129	7.231047278689646e-11	2083029737029979.0	1194287.8061847438	724219.995920745	2117.083488241835	2110.9236604151824	327970.7729959078	10.440696372341103	1.716336882794321	1.716336882794321	10.440696372341103	0.4025241495261039	1.7573419391052285	0.47561593693949034	2.045246433645492
3130	7.218043718243741e-11	2083029737029979.0	1229428.7145233394	739009.3507543658	2203.9339539745692	2197.392472491102	327471.24947735475	10.440696372341103	2.268859088005943	2.268859088005943	10.440696372341103	0.4272227843009377	1.8118343514810273	0.4688633226761738	2.0633110888157926
3131	7.31785124553406e-11	2058031527330550.0	1263860.0978405662	769410.2248922244	2269.8631578853597	2263.198424594781	330205.4491390534	9.841899226598484	2.4020325308870367	2.4020325308870367	9.841899226598484	0.3926859506897123	1.7298499712361515	0.45588787933323244	2.081540747189784
3132	7.368262950052976e-11	2058031527330550.0	1264620.1059854317	761152.5518159685	2263.72737174295	2257.026826935351	332458.4281154611	9.841899226598484	2.4020325308870367	2.4020325308870367	9.841899226598484	0.42175352796503723	1.78664621351323	0.4736493143202532	2.038321416710472
3133	7.364262652914018e-11	2058031527330550.0	1196404.6123836155	740901.8235660986	2454.0907939913445	2446.005523948259	332468.1374609581	9.841899226598484	2.4020325308870367	2.4020325308870367	9.841899226598484	0.3994695270948811	1.7387802048152874	0.47907505312003457	2.0314993456236823
3134	7.455709358423899e-11	2058031527330550.0	1198315.4457022361	751211.4423074281	2387.1980055363892	2379.6510382057104	336499.8764481643	9.841899226598484	2.4020325308870367	2.4020325308870367	9.841899226598484	0.4013711956451547	1.7324412718068647	0.481443962826931	2.031319708684558
3135	7.447788619866872e-11	2058031527330550.0	1166711.8855221907	732949.1413284709	2341.5987666593637	2334.156673431666	336099.42203534365	9.841899226598484	2.4020325308870367	2.4020325308870367	9.841899226598484	0.41380400182006083	1.7601161796205762	0.4292976199326724	2.156815363683193
3136	7.234366237704158e-11	2062851266477398.5	1244549.2165468454	741705.2181237191	2443.1683032232218	2435.1626734714328	326984.7930871127	9.841899226598484	2.4020325308870367	2.4020325308870367	9.841899226598484	0.40979208325068694	1.7758074719617365	0.4694993541740737	2.0487891630733164
3137	7.248236385893095e-11	2094169175276545.0	1242952.725677806	738813.58905827	2474.8186921949914	2466.572836865895	329908.4447604833	9.841899226598484	2.4020325308870367	2.4020325308870367	9.841899226598484	0.41661109656143874	1.7825699261731027	0.4720070968815204	2.047070587226765
3138	7.215927612270381e-11	2094169175276545.0	1254677.4748666463	753167.8097708108	2484.968770314408	2476.813088208157	328459.1237128635	9.841899226598484	2.4020325308870367	2.4020325308870367	9.841899226598484	0.41820490597495913	1.7899123783583022	0.4724996816218944	2.050212235021471
3139	7.285819545948251e-11	2084653268090161.0	1422740.0395376382	765861.4015183429	2321.7174903454193	2314.711881979956	330761.10571843025	9.841899226598484	2.4020325308870367	2.4020325308870367	9.841899226598484	0.4035880580650186	1.7522247518994647	0.4764405854647653	2.0388805851643252
3140	7.279995862586658e-11	2084653268090161.0	1338129.289217323	762908.3213611471	2131.69652523212	2125.766243819402	330309.62711649016	9.841899226598484	2.4020325308870367	2.4020325308870367	9.841899226598484	0.4004972562872382	1.746694816924715	0.4803171527638685	2.025606771650691
3141	7.300059756239208e-11	2084653268090161.0	1359313.0600397552	784758.9177810656	2043.8613456079943	2038.5600202264668	331126.9057590044	9.841899226598484	2.4020325308870367	2.4020325308870367	9.841899226598484	0.3943310128951546	1.731055955862569	0.48555193977550426	2.0191228151680836
3142	7.275503115028794e-11	2008544369864964.0	1310090.7415337034	759994.5926737521	2058.1619278013777	2052.6119365446684	324496.63347145665	9.841899226598484	2.4020325308870367	2.4020325308870367	9.841899226598484	0.4045151687275449	1.7710881727909833	0.48899326618792466	2.0155469399029498
3143	7.339865297054843e-11	2011720401816039.5	1287092.9751902581	754821.6409010185	1833.665108523556	1829.2277585746283	327358.84214309923	9.841899226598484	2.4020325308870367	2.4020325308870367	9.841899226598484	0.40450878437305	1.7633146488471403	0.4881248027908088	2.017254255008133
3144	7.325249432891732e-11	2011720401816039.5	1200806.9077997047	746759.8798598906	1785.2608078160315	1781.0093276954997	326662.397016994	9.841899226598484	2.4020325308870367	2.4020325308870367	9.841899226598484	0.4139416550104175	1.7856562919106416	0.46742572093693596	2.059514631307824
3145	7.291396846015057e-11	2011720401816039.5	1209923.9860628748	756625.5976925493	1717.9675695313053	1714.0811677146073	325094.07624204183	9.841899226598484	2.4020325308870367	2.4020325308870367	9.841899226598484	0.4048735808907633	1.7702437355446923	0.46666508162145637	2.0615651639287607
3146	7.33751783454285e-11	2011720401816039.5	1297241.1250943383	755109.2323660053	1715.6192229761054	1711.7352836031082	327137.2375985755	9.841899226598484	2.4020325308870367	2.4020325308870367	9.841899226598484	0.41237973551926543	1.7809902487613347	0.4447247873858683	2.113729481789987
3147	7.2051287263858e-11	2011720401816039.5	1285907.6930363302	744747.4417428809	1684.3117570626011	1680.5161051534371	321234.4426373429	9.841899226598484	2.4020325308870367	2.4020325308870367	9.841899226598484	0.4043382976105933	1.7796691081179594	0.4510198506533543	2.1023764027776592
3148	7.290663518563435e-11	2011720401816039.5	1279301.424549003	755946.1744304495	1534.7690598502647	1531.663115631965	324879.13445922534	9.841899226598484	2.4020325308870367	2.4020325308870367	9.841899226598484	0.40184890002263945	1.7642021906762624	0.4485544767704354	2.1023764027776592
3149	7.404472540057647e-11	1997938087895209.5	1130577.7825684992	743013.198742552	1475.9478271077119	1473.0255792581231	328847.52153450047	9.841899226598484	2.0792393801750877	2.0792393801750877	9.841899226598484	0.39724580685100713	1.743453020001835	0.46042003712507856	2.07297827964827
3150	7.369269303345655e-11	1997938087895209.5	1172918.41839163	743540.230923115	1442.7180387215533	1439.9275342253482	327257.98016251443	9.841899226598484	2.0792393801750877	2.0792393801750877	9.841899226598484	0.41485250153718095	1.7859924087358183	0.44126385439714805	2.1181509796645877
3151	7.408760363764529e-11	1997938087895209.5	1188292.2722888142	741939.5307995358	1407.4297827127546	1404.7681518493316	328968.84197603393	9.841899226598484	2.0792393801750877	2.0792393801750877	9.841899226598484	0.41061242471139653	1.7722155180665333	0.4426859807970527	2.115689381573849
3152	7.369030538295502e-11	1997938087895209.5	1172456.4565044972	736806.2002190414	1331.3263026935008	1328.9278073638682	327136.4238987055	9.841899226598484	1.8833716352036334	1.8833716352036334	9.841899226598484	0.4184989266669615	1.794157637234137	0.4392768347814154	2.1250582155694566
3153	7.30181576365558e-11	1997938087895209.5	1174796.8799250387	732377.7914184441	1277.8323984275808	1275.6091734565277	324111.3334269735	9.841899226598484	2.310934186516554	2.310934186516554	9.841899226598484	0.39239512767736345	1.7453903444025929	0.4596972017961047	2.0830265877771676
3154	7.366101138929397e-11	1997938087895209.5	1217137.4664774288	774002.1341150346	1282.6395095731116	1280.5197307621904	326958.49806972616	9.841899226598484	2.310934186516554	2.310934186516554	9.841899226598484	0.40718448005995556	1.770219694431735	0.4481281866333742	2.105824510752637
